Equipe;Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adversaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N ;JOUEUR
Angers;23-24;1/8 de finale;Coupe de France;Domicile;Defaite;Saint-Amand;;Starter;J. Wojta;22;15;0,25;22,25;2;8;0,25;2;8;0,25;0;0;;4;4;1;;;;;;;;8;1;3;4;3;2;1;0;0;3;2;-6;8;2;J. Wojta
Angers;23-24;1/8 de finale;Coupe de France;Domicile;Defaite;Saint-Amand;;Starter;M. Kaba;35;58;0,97;35,97;6;13;0,461538462;6;12;0,5;0;1;0;4;8;0,5;;;;;;;;16;0;7;7;2;6;0;1;1;3;7;-12;9;5;M. Kaba
Angers;23-24;1/8 de finale;Coupe de France;Domicile;Defaite;Saint-Amand;;Starter;J. Bailey;33;18;0,3;33,3;6;13;0,461538462;5;9;0,555555556;1;4;0,25;6;7;0,857142857;;;;;;;;19;2;4;6;7;1;4;1;1;4;8;-7;28;10;J. Bailey
Angers;23-24;1/8 de finale;Coupe de France;Domicile;Defaite;Saint-Amand;Capitaine;Starter;K. Elenga;27;15;0,25;27,25;5;9;0,555555556;4;5;0,8;1;4;0,25;0;0;;;;;;;;;11;1;4;5;0;1;0;0;1;4;1;-2;11;18;K. Elenga(C)
Angers;23-24;1/8 de finale;Coupe de France;Domicile;Defaite;Saint-Amand;;Starter;L. Lacan;27;2;0,03;27,03;2;7;0,285714286;2;4;0,5;0;3;0;2;4;0,5;;;;;;;;6;0;2;2;1;2;0;1;0;4;3;-10;1;32;L. Lacan
Angers;23-24;1/8 de finale;Coupe de France;Domicile;Defaite;Saint-Amand;;Banc;A. Merceron;1;49;0,82;1,82;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;1;0;0;0;0;0;-8;-1;4;A. Merceron
Angers;23-24;1/8 de finale;Coupe de France;Domicile;Defaite;Saint-Amand;;Banc;N. Fofana;11;27;0,45;11,45;2;4;0,5;2;3;0,666666667;0;1;0;0;0;;;;;;;;;4;0;1;1;0;2;0;0;0;2;0;-9;1;7;N. Fofana
Angers;23-24;1/8 de finale;Coupe de France;Domicile;Defaite;Saint-Amand;;Banc;M. Dursus;4;50;0,83;4,83;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;1;-1;0;8;M. Dursus
Angers;23-24;1/8 de finale;Coupe de France;Domicile;Defaite;Saint-Amand;;Banc;I. Arrondo;18;34;0,57;18,57;0;1;0;0;0;;0;1;0;0;0;;;;;;;;;0;0;1;1;1;0;0;0;0;0;0;-7;1;9;I. Arrondo
Angers;23-24;1/8 de finale;Coupe de France;Domicile;Defaite;Saint-Amand;;Banc;C. Perdriau;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;14;C. Perdriau
Angers;23-24;1/8 de finale;Coupe de France;Domicile;Defaite;Saint-Amand;;Banc;O. Monpierre;17;32;0,53;17,53;1;2;0,5;1;2;0,5;0;0;;0;0;;;;;;;;;2;1;0;1;4;2;1;0;0;2;1;-3;5;31;O. Monpierre
