Saison;Journee;Domicile;Exterieur;Score domicile;Score Exterieur;Derby;ELO domicile avant match;ELO extérieur avant match;ELO domicile après match;ELO extérieur après match
24-25;1;Angers;Tarbes;73;59;0;1465;1485;;
24-25;1;Charleville-Mézières;Basket Landes;61;94;0;1520;1600;;
24-25;1;Bourges;Chartres;73;58;0;1640;1360;;
24-25;1;Charnay;Lattes Montpellier;73;76;0;1540;1575;;
24-25;1;Landerneau;Villeneuve d'Ascq;94;79;0;1400;1665;;
24-25;1;Lyon;Roche Vendée;89;68;0;1540;1430;;
24-25;2;Roche Vendée;Angers;46;66;1;;;;
24-25;2;Basket Landes;Bourges;68;55;0;;;;
24-25;2;Tarbes;Charleville-Mézières;73;55;0;;;;
24-25;2;Chartres;Charnay;70;73;0;;;;
24-25;2;Lattes Montpellier;Landerneau;75;59;0;;;;
24-25;2;Villeneuve d'Ascq;Lyon;57;69;0;;;;
24-25;3;Angers;Villeneuve d'Ascq;81;77;0;;;;
24-25;3;Charnay;Basket Landes;72;70;0;;;;
24-25;3;Bourges;Tarbes;84;69;0;;;;
24-25;3;Charleville-Mézières;Roche Vendée;83;73;0;;;;
24-25;3;Landerneau;Chartres;76;73;0;;;;
24-25;3;Lyon;Lattes Montpellier;66;85;1;;;;
24-25;4;Lattes Montpellier;Angers;67;68;0;;;;
24-25;4;Basket Landes;Landerneau;68;49;0;;;;
24-25;4;Roche Vendée;Bourges;50;88;0;;;;
24-25;4;Villeneuve d'Ascq;Charleville-Mézières;76;94;1;;;;
24-25;4;Tarbes;Charnay;53;74;0;;;;
24-25;4;Chartres;Lyon;74;79;0;;;;
24-25;5;Angers;Chartres;92;82;1;;;;
24-25;5;Lyon;Basket Landes;89;85;0;;;;
24-25;5;Bourges;Villeneuve d'Ascq;88;70;0;;;;
24-25;5;Charleville-Mézières;Lattes Montpellier;75;71;0;;;;
24-25;5;Charnay;Roche Vendée;67;54;0;;;;
24-25;5;Landerneau;Tarbes;62;75;0;;;;
24-25;6;Basket Landes;Angers;81;65;0;;;;
24-25;6;Lattes Montpellier;Bourges;75;86;0;;;;
24-25;6;Chartres;Charleville-Mézières;80;72;0;;;;
24-25;6;Villeneuve d'Ascq;Charnay;64;67;0;;;;
24-25;6;Roche Vendée;Landerneau;77;62;0;;;;
24-25;6;Tarbes;Lyon;73;61;0;;;;
24-25;7;Angers;Charnay;64;73;0;;;;
24-25;7;Basket Landes;Chartres;69;58;0;;;;
24-25;7;Charleville-Mézières;Bourges;91;86;0;;;;
24-25;7;Lyon;Landerneau;67;83;0;;;;
24-25;7;Tarbes;Lattes Montpellier;61;71;0;;;;
24-25;7;Roche Vendée;Villeneuve d'Ascq;71;82;0;;;;
24-25;8;Landerneau;Angers;49;66;0;;;;
24-25;8;Lattes Montpellier;Basket Landes;52;39;0;;;;
24-25;8;Bourges;Lyon;82;71;0;;;;
24-25;8;Charnay;Charleville-Mézières;70;73;0;;;;
24-25;8;Chartres;Roche Vendée;72;74;0;;;;
24-25;8;Villeneuve d'Ascq;Tarbes;67;65;0;;;;
24-25;9;Lyon;Angers;84;65;0;;;;
24-25;9;Basket Landes;Villeneuve d'Ascq;81;70;0;;;;
24-25;9;Bourges;Charnay;85;57;0;;;;
24-25;9;Charleville-Mézières;Landerneau;85;75;0;;;;
24-25;9;Chartres;Lattes Montpellier;67;68;0;;;;
24-25;9;Roche Vendée;Tarbes;43;71;0;;;;
24-25;10;Angers;Charleville-Mézières;74;84;0;;;;
24-25;10;Tarbes;Basket Landes;74;63;1;;;;
24-25;10;Landerneau;Bourges;74;80;0;;;;
24-25;10;Charnay;Lyon;80;57;1;;;;
24-25;10;Villeneuve d'Ascq;Chartres;75;56;0;;;;
24-25;10;Lattes Montpellier;Roche Vendée;80;51;0;;;;
