Saison;Journee;Domicile;Exterieur;Score domicile;Score Exterieur;Derby;ELO domicile avant match;ELO extérieur avant match;ELO domicile après match;ELO extérieur après match
24-25;1;Angers;Tarbes;73;59;0;1465.0;1485.0;1483.51;1471.78
24-25;1;Charleville-Mézières;Basket Landes;61;94;0;1520.0;1600.0;1506.46;1609.67
24-25;1;Bourges;Chartres;73;58;0;1640.0;1360.0;1645.82;1355.84
24-25;1;Charnay;Lattes Montpellier;73;76;0;1540.0;1575.0;1524.26;1586.25
24-25;1;Landerneau;Villeneuve d'Ascq;94;79;0;1400.0;1665.0;1428.75;1644.47
24-25;1;Lyon;Roche Vendée;89;68;0;1540.0;1430.0;1552.14;1421.33
24-25;2;Roche Vendée;Angers;46;66;1;1421.3304291804718;1483.5062697362293;1404.87;1499.96
24-25;2;Basket Landes;Bourges;68;55;0;1609.6715794961715;1645.8218135785796;1628.99;1632.03
24-25;2;Tarbes;Charleville-Mézières;73;55;0;1471.7812359026932;1506.45978870536;1491.02;1492.72
24-25;2;Chartres;Charnay;70;73;0;1355.841561729586;1524.2569773638738;1346.22;1531.13
24-25;2;Lattes Montpellier;Landerneau;75;59;0;1586.2450161686616;1428.7469515107955;1596.31;1421.55
24-25;2;Villeneuve d'Ascq;Lyon;57;69;0;1644.4664632065746;1552.1373991473395;1622.42;1567.88
24-25;3;Angers;Villeneuve d'Ascq;81;77;0;1499.9648651577004;1622.4224031349681;1523.39;1605.69
24-25;3;Charnay;Basket Landes;72;70;0;1531.1315960334186;1628.9858897997021;1553.43;1613.06
24-25;3;Bourges;Tarbes;84;69;0;1632.0258776474864;1491.0221839961569;1642.79;1483.33
24-25;3;Charleville-Mézières;Roche Vendée;83;73;0;1492.7162543528862;1404.8718337590008;1505.88;1395.47
24-25;3;Landerneau;Chartres;76;73;0;1421.5547119683515;1346.2170955922231;1435.32;1336.39
24-25;3;Lyon;Lattes Montpellier;66;85;1;1567.8831563413441;1596.3141515280831;1549.52;1614.68
24-25;4;Lattes Montpellier;Angers;67;68;0;1614.6811752311671;1523.389601956542;1592.69;1539.1
