Equipe;n_matchs;%Tirs_mean;PD_mean;BP_mean;3pts_marques_mean
Angers;75;0,39956545897333334;16,64;15,573333333333334;5,659574468085107
Basket landes;83;0,42449148208433735;18,819277108433734;15,650602409638553;6,574074074074074
Bourges;85;0,44037580465882353;19,705882352941178;16,023529411764706;6,607142857142857
Charleville;77;0,4443587564025974;21,025974025974026;17,51948051948052;7,509433962264151
Chartres;46;0,4084782608695652;18,282608695652176;19,02173913043478;6,6
Landerneau;76;0,3903756391866667;16,105263157894736;15,789473684210526;6,134615384615385
Lyon;81;0,4229296721604938;18,234567901234566;16,88888888888889;7,425925925925926
Montpellier;76;0,434586328631579;20,355263157894736;16,973684210526315;8,075471698113208
Roche vendee;79;0,4025197247051282;15,10126582278481;19,50632911392405;6,34
Toulouse;28;0,39571428571428574;16,321428571428573;15,75;
Villeneuve d'ascq;75;0,44194571039999997;17,68;16,85333333333333;8,403846153846153
charnay;72;0,4311229064444444;17,38888888888889;17,01388888888889;7,54
