dom,n_dom,wr_dom,marge_dom,n_ext,wr_ext,marge_ext,ecart_dom_ext
bourges,22,0.9545454545454546,15.954545454545455,22,0.6818181818181818,5.2727272727272725,0.2727272727272728
basket landes,22,0.9090909090909091,13.590909090909092,22,0.6363636363636364,3.590909090909091,0.2727272727272727
charleville,22,0.7727272727272727,8.090909090909092,22,0.5,1.0909090909090908,0.2727272727272727
montpellier,22,0.7272727272727273,7.590909090909091,22,0.5454545454545454,2.4545454545454546,0.18181818181818188
charnay,22,0.6363636363636364,4.2727272727272725,22,0.5454545454545454,-1.4545454545454546,0.09090909090909094
lyon,22,0.5909090909090909,3.5,22,0.22727272727272727,-4.545454545454546,0.36363636363636365
landerneau,22,0.5909090909090909,-0.18181818181818182,22,0.36363636363636365,-7.318181818181818,0.2272727272727273
tarbes,11,0.5454545454545454,2.1818181818181817,11,0.2727272727272727,-4.818181818181818,0.2727272727272727
angers,22,0.45454545454545453,-3.4545454545454546,22,0.3181818181818182,-4.2272727272727275,0.13636363636363635
villeneuve ascq,22,0.45454545454545453,-0.9545454545454546,22,0.36363636363636365,-1.8181818181818181,0.09090909090909088
roche vendee,22,0.4090909090909091,-4.7272727272727275,22,0.18181818181818182,-10.090909090909092,0.2272727272727273
toulouse,11,0.36363636363636365,-13.363636363636363,11,0.18181818181818182,-7.363636363636363,0.18181818181818182
chartres,22,0.22727272727272727,-5.909090909090909,22,0.22727272727272727,-9.045454545454545,0.0
