eq,eq_opp,n,vic,net,niv_eq,niv_opp,attendu,sous_perf
landerneau,roche vendee,3,0.0,-8.666666666666666,0.34285714285714286,0.22857142857142856,0.5999999989500001,-0.5999999989500001
montpellier,bourges,4,0.0,-13.75,0.5833333333333334,0.8333333333333334,0.4117647055916955,-0.4117647055916955
lyon,bourges,4,0.0,-10.75,0.5,0.8333333333333334,0.3749999997187499,-0.3749999997187499
angers,bourges,4,0.0,-10.0,0.4444444444444444,0.8333333333333334,0.34782608668431003,-0.34782608668431003
roche vendee,angers,4,0.0,-14.25,0.22857142857142856,0.4444444444444444,0.339622641004806,-0.339622641004806
landerneau,basket landes,4,0.0,-20.25,0.34285714285714286,0.6944444444444444,0.3305279262307076,-0.3305279262307076
roche vendee,charleville,4,0.0,-6.5,0.22857142857142856,0.4722222222222222,0.3261608149366222,-0.3261608149366222
villeneuve ascq,lyon,4,0.25,4.0,0.6111111111111112,0.5,0.549999999505,-0.299999999505
roche vendee,villeneuve ascq,4,0.0,-19.25,0.22857142857142856,0.6111111111111112,0.272211719902659,-0.272211719902659
roche vendee,basket landes,4,0.0,-14.0,0.22857142857142856,0.6944444444444444,0.24763542535509836,-0.24763542535509836
charleville,lyon,4,0.25,-7.75,0.4722222222222222,0.5,0.4857142852146939,-0.2357142852146939
angers,charleville,4,0.25,3.25,0.4444444444444444,0.4722222222222222,0.48484848431955924,-0.23484848431955924
angers,lyon,4,0.25,-8.25,0.4444444444444444,0.5,0.47058823479584777,-0.22058823479584777
villeneuve ascq,basket landes,4,0.25,-3.5,0.6111111111111112,0.6944444444444444,0.4680851060244455,-0.21808510602444547
roche vendee,bourges,4,0.0,-23.0,0.22857142857142856,0.8333333333333334,0.2152466365686018,-0.2152466365686018
lyon,montpellier,4,0.25,-5.75,0.5,0.5833333333333334,0.4615384611124259,-0.2115384611124259
charleville,montpellier,4,0.25,-13.0,0.4722222222222222,0.5833333333333334,0.4473684206288088,-0.19736842062880883
lyon,roche vendee,4,0.5,9.25,0.5,0.22857142857142856,0.6862745088619763,-0.18627450886197627
charleville,villeneuve ascq,4,0.25,-9.5,0.4722222222222222,0.6111111111111112,0.43589743549506893,-0.18589743549506893
landerneau,angers,4,0.25,-9.25,0.34285714285714286,0.4444444444444444,0.43548387041460723,-0.18548387041460723
angers,basket landes,4,0.25,-9.25,0.4444444444444444,0.6944444444444444,0.39024390209637116,-0.14024390209637116
montpellier,landerneau,4,0.5,2.75,0.5833333333333334,0.34285714285714286,0.6298200507338704,-0.12982005073387037
charleville,bourges,4,0.25,1.25,0.4722222222222222,0.8333333333333334,0.361702127382526,-0.111702127382526
landerneau,villeneuve ascq,4,0.25,-9.75,0.34285714285714286,0.6111111111111112,0.35940099795936337,-0.10940099795936337
basket landes,charleville,4,0.5,14.75,0.6944444444444444,0.4722222222222222,0.5952380947278911,-0.09523809472789113
lyon,landerneau,4,0.5,-1.5,0.5,0.34285714285714286,0.5932203382792302,-0.09322033827923015
basket landes,lyon,4,0.5,-1.5,0.6944444444444444,0.5,0.5813953483504597,-0.0813953483504597
charleville,landerneau,4,0.5,2.5,0.4722222222222222,0.34285714285714286,0.5793573507984515,-0.07935735079845152
villeneuve ascq,angers,4,0.5,13.0,0.6111111111111112,0.4444444444444444,0.5789473678725762,-0.07894736787257617
bourges,villeneuve ascq,4,0.5,0.75,0.8333333333333334,0.6111111111111112,0.5769230765236686,-0.07692307652366859
montpellier,angers,4,0.5,0.75,0.5833333333333334,0.4444444444444444,0.5675675670153397,-0.06756756701533972
bourges,basket landes,4,0.5,7.75,0.8333333333333334,0.6944444444444444,0.5454545450975207,-0.04545454509752067
basket landes,montpellier,4,0.5,7.0,0.6944444444444444,0.5833333333333334,0.5434782604442344,-0.04347826044423442
landerneau,bourges,4,0.25,-14.0,0.34285714285714286,0.8333333333333334,0.2914979754606697,-0.04149797546066969
roche vendee,montpellier,4,0.25,-8.5,0.22857142857142856,0.5833333333333334,0.28152492633947074,-0.03152492633947074
villeneuve ascq,montpellier,4,0.5,-0.5,0.6111111111111112,0.5833333333333334,0.5116279065484045,-0.01162790654840451
montpellier,villeneuve ascq,4,0.5,0.5,0.5833333333333334,0.6111111111111112,0.4883720926143861,0.011627907385613923
montpellier,roche vendee,4,0.75,8.5,0.5833333333333334,0.22857142857142856,0.7184750724288578,0.031524927571142225
bourges,landerneau,4,0.75,14.0,0.8333333333333334,0.34285714285714286,0.7085020236891278,0.04149797631087215
montpellier,basket landes,4,0.5,-7.0,0.5833333333333334,0.6944444444444444,0.45652173877315694,0.04347826122684306
basket landes,bourges,4,0.5,-7.75,0.6944444444444444,0.8333333333333334,0.45454545424793386,0.045454545752066144
angers,montpellier,4,0.5,-0.75,0.4444444444444444,0.5833333333333334,0.43243243201168735,0.06756756798831265
villeneuve ascq,bourges,4,0.5,-0.75,0.6111111111111112,0.8333333333333334,0.42307692278402365,0.07692307721597635
angers,villeneuve ascq,4,0.5,-13.0,0.4444444444444444,0.6111111111111112,0.4210526311800553,0.07894736881994469
landerneau,charleville,4,0.5,-2.5,0.34285714285714286,0.4722222222222222,0.4206426479746741,0.0793573520253259
lyon,basket landes,4,0.5,1.5,0.5,0.6944444444444444,0.41860465081233095,0.08139534918766905
landerneau,lyon,4,0.5,1.5,0.34285714285714286,0.5,0.40677966053432923,0.09322033946567077
charleville,basket landes,4,0.5,-14.75,0.4722222222222222,0.6944444444444444,0.404761904414966,0.09523809558503399
villeneuve ascq,landerneau,4,0.75,9.75,0.6111111111111112,0.34285714285714286,0.6405990009923838,0.10940099900761624
bourges,charleville,4,0.75,-1.25,0.8333333333333334,0.4722222222222222,0.6382978718515165,0.11170212814848346
landerneau,montpellier,4,0.5,-2.75,0.34285714285714286,0.5833333333333334,0.3701799481864381,0.12982005181356188
