Saison,n,pct_etr,age,taille
15-16,188,33.51063829787234,23.891304347826086,1.8103314917127074
16-17,162,33.95061728395061,24.354037267080745,1.8093125
17-18,177,34.463276836158194,24.434285714285714,1.80874251497006
18-19,177,33.89830508474576,24.65714285714286,1.815344827586207
19-20,164,35.36585365853659,24.703703703703702,1.8210191082802547
20-21,174,39.08045977011494,25.04022988505747,1.815204678362573
21-22,181,33.149171270718234,24.915730337078653,1.8148863636363637
22-23,185,35.13513513513513,24.559782608695652,1.8198876404494382
23-24,180,36.66666666666667,24.62146892655367,1.8148823529411764
24-25,171,31.57894736842105,24.3,1.8086060606060608
25-26,168,29.166666666666664,23.862275449101798,1.8002424242424244
