eq,Saison,matchs,taux_victoire,net_points,net_eFG,net_3pts,net_RD,net_PD,net_pertes
angers,23-24,18,0.3333333333333333,-4.111111111111111,-0.08912822687334739,-0.03905684529788836,-4.666666666666667,0.7777777777777778,-0.05023194403075344
angers,24-25,18,0.5555555555555556,1.5555555555555556,-0.011502235169400986,0.03841568540191336,2.3333333333333335,-2.0555555555555554,0.015420001630528491
basket landes,23-24,18,0.6666666666666666,8.666666666666666,0.028000462155718657,0.0035223527401073568,4.5,2.2777777777777777,-0.023023189722142314
basket landes,24-25,18,0.7222222222222222,5.833333333333333,0.05073981479341402,0.0050081155482124455,1.2222222222222223,3.7777777777777777,-0.0010789558466080401
bourges,23-24,18,0.7777777777777778,11.0,0.06498668373362194,0.005721677532577699,3.2222222222222223,5.277777777777778,-0.022122583549512256
bourges,24-25,18,0.8888888888888888,9.61111111111111,0.08183176410491269,0.09896020772851381,1.8333333333333333,5.166666666666667,-0.022341143714374026
charleville,23-24,18,0.3888888888888889,-8.88888888888889,-0.0316329002243059,-0.0008669437122917221,0.2222222222222222,-0.8888888888888888,0.07261357620196472
charleville,24-25,18,0.5555555555555556,1.1666666666666667,0.0011343269771035033,-0.004163260818629662,-1.5555555555555556,1.0,-0.03245082410892077
charnay,23-24,18,0.4444444444444444,-2.388888888888889,-0.012431967226137791,-0.045555233724982575,-5.5,-4.0,-0.05369319743723148
chartres,24-25,18,0.1111111111111111,-8.666666666666666,-0.021731158184980528,0.008169012748638948,-0.7222222222222222,-0.5,0.02608926826685799
landerneau,23-24,17,0.35294117647058826,-7.647058823529412,-0.039517699514887365,5.711551948765525e-05,-3.764705882352941,-3.2941176470588234,-0.0074883968847387445
landerneau,24-25,18,0.3333333333333333,-6.388888888888889,-0.0683497301544448,-0.10883375832515796,-2.1666666666666665,-3.611111111111111,-0.0052244478824602595
lyon,23-24,18,0.4444444444444444,-0.2777777777777778,0.033413682727031095,0.007228674782128499,1.6666666666666667,1.6666666666666667,0.03706026067205524
lyon,24-25,18,0.5555555555555556,1.7222222222222223,0.013722849620310775,0.01886780442519081,0.9444444444444444,-0.3888888888888889,-0.001824031457094835
montpellier,23-24,18,0.5,-3.111111111111111,-0.027997104728564252,-0.01956507856710551,-1.1666666666666667,-1.5555555555555556,0.0004659127985030033
montpellier,24-25,18,0.6666666666666666,7.0,0.02351675223768299,0.02587586803946253,2.4444444444444446,3.2777777777777777,0.002155885719585022
roche vendee,23-24,17,0.17647058823529413,-11.411764705882353,-0.037024652086761804,0.0028531910076856266,-0.4117647058823529,-4.411764705882353,0.059747874964299306
roche vendee,24-25,18,0.2777777777777778,-9.833333333333334,-0.06041533606318688,-0.08164170115166296,-3.2777777777777777,-5.5,0.025197106422184787
villeneuve ascq,23-24,18,0.8888888888888888,17.11111111111111,0.10707936917087452,0.0858227734162354,5.666666666666667,3.7222222222222223,-0.010425008674690671
villeneuve ascq,24-25,18,0.3333333333333333,-2.0,-0.008947048161410794,-0.000657973596481338,-1.0555555555555556,-1.1666666666666667,-0.005942859029698359
