facteur,ecart_moy_gagnant,IC95_bas,IC95_haut,cohen_d,p_value,signif
Efficacite tir (eFG%),0.08491527986191875,0.07204299218591223,0.09730089460109645,1.93065528982221,2.7722805868724883e-42,***
% tirs reussis,0.07199108775383876,0.060902832961791595,0.08282589847938795,1.8640928937616663,1.7791083964066226e-41,***
Passes decisives,4.100558659217877,3.295949720670391,4.866061452513965,1.4676291654172369,1.0605886701774534e-29,***
% a 3 points,0.07943343077261705,0.06013895241908278,0.09938010848726649,1.1516906040202854,3.3423804076475613e-21,***
Rebonds defensifs,3.547486033519553,2.5921787709497206,4.4692737430167595,1.0991720811092403,3.2535266216500576e-20,***
Pression def. (INT+CT),1.553072625698324,0.88268156424581,2.2290502793296088,0.6580243253699178,3.3145190631378056e-09,***
Taux de pertes,-0.02573927277827424,-0.03670515208135474,-0.01438211411738392,-0.6459937429717179,3.679335625878903e-09,***
Interceptions,1.3463687150837989,0.6925977653631286,1.961033519553072,0.6073814288623613,1.2943239322266429e-08,***
Contres,0.20670391061452514,-0.11173184357541899,0.5363128491620112,0.18111999349158805,0.11427452524271912,ns
Rebonds offensifs,0.4301675977653631,-0.31843575418994413,1.2347765363128484,0.16051016749560476,0.06680988460946205,ns
Part de tirs 3pts (style),-0.007432438578272454,-0.040298858077925444,0.016805883136382396,-0.07621352432206031,0.9352826771424531,ns
