cle,Saison,min_moy,tirs_min,part_3pts,pd_min,reb_off_min,reb_def_min,int_min,ct_min,fta_rate,eval_min,taille,arch
aalston,23-24,30.485714285714288,0.32021243361399526,0.46829268292454496,0.10153077163370582,0.028116213683180073,0.06560449859408683,0.039050296782194543,0.0015620118712877818,0.2585365853645925,0.3530146829110387,1.75,1
aalston,24-25,31.225714285714286,0.43462347881716135,0.41403508771784553,0.09759965840104676,0.021349925275228977,0.07014975447575236,0.03202488791284347,0.0015249946625163556,0.29824561403404126,0.34159880440366364,1.75,1
abaker,24-25,31.709999999999997,0.325869862293214,0.12442396313306718,0.11262783258982051,0.02102386208343316,0.07959033503013983,0.031535793125149744,0.0,0.23502304147357134,0.2793170248227549,1.73,1
abouderra,23-24,22.615454545454543,0.2954536318682007,0.7142857142808553,0.24118663825975564,0.014069220565152413,0.05024721630411576,0.06230654821710354,0.0,0.26530612244717483,0.4341359488675602,1.63,1
abulgak,23-24,20.282999999999998,0.33032588867361673,0.3432835820844286,0.034511660010676376,0.06409308287697041,0.16762806290899954,0.04930237144382339,0.009860474288764678,0.3582089552185342,0.40920968298373417,1.93,0
achery,23-24,26.422727272727272,0.3320144503692895,0.4559585492204355,0.09117495269208468,0.01720282126265749,0.2219163942882816,0.03268536039904923,0.008601410631328745,0.2642487046618433,0.5126440736271931,1.9,0
aduchet,23-24,24.238,0.33624886541724514,0.4846625766841432,0.14646422972162212,0.008251505899809696,0.09695519432276394,0.02475451769942909,0.0,0.08588957055162032,0.4043237890906751,1.66,1
aduchet,24-25,21.008947368421055,0.3632537515335239,0.5448275862031392,0.14780669889984765,0.015031189718628575,0.08517674173889526,0.04008317258300954,0.002505198286438096,0.05517241379272295,0.4283889069809144,1.66,1
agaye,23-24,16.9525,0.22857985547685755,0.0,0.07373543725059921,0.11060315587589882,0.14747087450119842,0.0,0.029494174900239683,0.41935483869614987,0.4424126235035953,1.95,0
agaye,24-25,33.07,0.20848916970348624,0.09923664122061653,0.03978800948539814,0.047745611382477765,0.1511944360445129,0.006366081517663702,0.03978800948539814,0.2900763358756483,0.3135295147449373,1.95,0
agueye,23-24,14.116818181818182,0.28978974144221986,0.19999999999777776,0.02575908812819732,0.09659658048073995,0.17387384486533192,0.03219886016024665,0.00643977203204933,0.6222222222153087,0.4121454100511571,1.9,0
agueye,24-25,35.05095238095238,0.22008776339176972,0.16666666666563787,0.03396416101724841,0.054342657627597456,0.11819528034002447,0.03396416101724841,0.005434265762759746,0.2716049382699284,0.31518741424006524,1.9,0
ajenkins,23-24,28.796315789473685,0.2814687551399458,0.2077922077908585,0.07676420594725794,0.08224736351491922,0.18459963811126315,0.07676420594725794,0.01827719189220427,0.6623376623333614,0.6122859283888431,1.85,0
akane,23-24,18.7045,0.2085059744975581,0.0,0.032077842230393554,0.07484829853758496,0.13365767595997313,0.032077842230393554,0.06415568446078711,0.38461538461045364,0.3742414926879248,1.91,0
akane,24-25,34.38227272727273,0.14938988114891477,0.04424778761022789,0.03305085866126433,0.03040678996836318,0.08593223251928725,0.015864412157406877,0.0343728930077149,0.14159292035272927,0.226067873243048,1.91,0
akone,23-24,25.607142857142858,0.3124128312407022,0.10119047618987387,0.08368200836804522,0.04277080427700089,0.11343561134335019,0.020455602045522166,0.011157601115739364,0.3095238095219671,0.36820083681939897,1.9,0
amerceron,23-24,10.753809523809524,0.225833591638729,0.2156862745055748,0.04428109639975078,0.06642164459962617,0.09741841207945172,0.02656865783985047,0.008856219279950155,0.2745098039161861,0.27454279767845485,1.89,0
amerceron,24-25,20.471363636363638,0.12434220751798668,0.17857142856823982,0.017763172502569525,0.04440793125642381,0.07771387969874168,0.008881586251284762,0.008881586251284762,0.3749999999933036,0.17097053533723167,1.89,0
angondjock,24-25,27.172727272727272,0.4014720642348587,0.4208333333315799,0.12044161927045761,0.02843760454996916,0.11375041819987664,0.026764804282323914,0.0033456005352904892,0.14166666666607639,0.3563064570084371,1.76,1
aokonkwo,23-24,34.146499999999996,0.3851053548674314,0.3954372623559109,0.04832120422290964,0.038071251811989414,0.14935644941626616,0.04246408855952666,0.00878567349507448,0.3422053231926152,0.5110333416301656,1.88,0
aokonkwo,24-25,36.63380952380952,0.28987014337485556,0.42152466367523983,0.0389959834136577,0.03509638507229193,0.10918875355824156,0.02339759004819462,0.00389959834136577,0.14349775784689014,0.39645916470551995,1.88,1
apeterson,23-24,26.077499999999997,0.32403412903782186,0.35502958579671584,0.1629757453740524,0.011504170261697817,0.09778544722443144,0.057520851308489086,0.0019173617102829694,0.5384615384583523,0.5234397469072507,1.65,1
arisacher,24-25,21.978571428571428,0.11266385007017081,0.34615384614718936,0.03249918752024158,0.01733290001079551,0.04766547502968765,0.021666125013494388,0.008666450005397754,0.17307692307359468,0.18416206261470228,1.85,1
asalvadores,23-24,20.571428571428573,0.39814814814722654,0.3604651162769741,0.11111111111085391,0.025462962962904023,0.106481481481235,0.03935185185176076,0.0023148148148094566,0.23255813953353166,0.36574074073989415,1.79,1
aspanou,23-24,25.951818181818183,0.3222755455909162,0.33152173912863303,0.08056888639772905,0.07005990121541657,0.13661680737006232,0.031526955546937456,0.0035029950607708285,0.3478260869546314,0.3853294566847911,1.86,0
asteinberga,23-24,20.776842105263157,0.31664808997791916,0.175999999998592,0.06586280271540718,0.06839598743523054,0.16465700678851794,0.060796433275760474,0.0025331847198233532,0.567999999995456,0.5876988549990179,1.91,0
astuder,23-24,17.241666666666667,0.2513291445130434,0.5961538461423816,0.23199613339665542,0.019333011116387952,0.13533107781471565,0.03383276945367891,0.004833252779096988,0.19230769230399408,0.391493475106856,1.68,1
asuarezutrero,23-24,32.26619047619048,0.3335350285565998,0.46902654867049104,0.1800498826721468,0.023613099366838922,0.09445239746735569,0.04279874260239555,0.004427456131282298,0.18584070796377947,0.32615593500446266,1.7,1
