Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
24-25;1;Championat de France;Exterieur;Defaite;Bourges;;Starter;F. Eldebrink;32;5;0,08;5,08;1;9;0,11;0;1;0;1;8;0,13;2;3;0,67;;;;;;;;5;0;2;2;5;3;1;0;0;0;3;-12;1;2;F. Eldebrink
24-25;1;Championat de France;Exterieur;Defaite;Bourges;;Starter;S. Elenga;28;48;0,8;48,8;8;14;0,57;6;12;0,5;2;2;1;0;0;;;;;;;;;18;4;5;9;2;1;0;1;0;1;0;-4;23;6;S. Elenga
24-25;1;Championat de France;Exterieur;Defaite;Bourges;;Starter;K. Cooper;14;12;0,2;12,2;1;4;0,25;0;2;0;1;2;0,5;0;0;;;;;;;;;3;0;2;2;3;1;0;0;0;3;0;3;4;12;K. Cooper
24-25;1;Championat de France;Exterieur;Defaite;Bourges;Capitaine;Starter;E. Marie(C);28;45;0,75;45,75;2;9;0,22;0;3;0;2;6;0,33;1;2;0,5;;;;;;;;7;1;5;6;2;4;3;0;0;3;4;10;6;21;E. Marie(C)
24-25;1;Championat de France;Exterieur;Defaite;Bourges;;Starter;N. Enabosi;27;18;0,3;18,3;6;14;0,43;6;14;0,43;0;0;;3;5;0,6;;;;;;;;15;2;4;6;0;0;0;0;0;1;5;2;11;33;N. Enabosi
24-25;1;Championat de France;Exterieur;Defaite;Bourges;;Banc;C. Legrand;14;13;0,22;13,22;1;3;0,33;1;3;0,33;0;0;;2;2;1;;;;;;;;4;0;2;2;1;0;0;0;0;2;2;-16;5;7;C. Legrand
24-25;1;Championat de France;Exterieur;Defaite;Bourges;;Banc;N. Niare;2;1;0,02;1,02;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;1;0;0;0;0;2;1;2;1;24;N. Niare
24-25;1;Championat de France;Exterieur;Defaite;Bourges;;Banc;E. Mahoutou;21;31;0,52;31,52;1;5;0,2;1;5;0,2;0;0;;0;0;;;;;;;;;2;2;2;4;2;2;1;0;0;3;0;-20;3;26;E. Mahoutou
24-25;1;Championat de France;Exterieur;Defaite;Bourges;;Banc;R. Le Seyec;14;8;0,13;8,13;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;3;3;0;2;0;0;0;1;1;-15;1;27;R. Le Seyec
24-25;1;Championat de France;Exterieur;Defaite;Bourges;;Banc;M. Debaut;16;49;0,82;49,82;2;6;0,33;2;3;0,67;0;3;0;0;0;;;;;;;;;4;1;0;1;0;2;1;0;0;0;0;-25;0;30;M. Debaut
