Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adversaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
25-26;1;Championat de France;Exterieur;;Villeneuve d'Ascq;;Starter;H. Limouzin;28;51;0,85;28,85;;;;;;;0;1;0;;;;;;;;;;;10;0;3;3;9;2;2;0;1;3;4;5;13;3;H. Limouzin
25-26;1;Championat de France;Exterieur;;Villeneuve d'Ascq;Capitaine;Starter;I. Slonjsak(C);5;1;0,02;5,02;;;;0;0;;;;;0;0;;;;;;;;;3;0;0;0;0;0;0;0;0;1;0;-7;3;6;I. Slonjsak(C)
25-26;1;Championat de France;Exterieur;;Villeneuve d'Ascq;;Starter;J. Lindstrom;37;50;0,83;37,83;;;;;;;;;;;;;;;;;;;;19;0;4;4;1;0;1;0;0;3;1;4;22;21;J. Lindstrom
25-26;1;Championat de France;Exterieur;;Villeneuve d'Ascq;;Starter;T. San Antonio;28;2;0,03;28,03;;;;;;;;;;;;;;;;;;;;16;0;1;1;2;3;1;0;0;3;3;3;10;23;T. San Antonio
25-26;1;Championat de France;Exterieur;;Villeneuve d'Ascq;;Starter;T. Reimer;10;38;0,63;10,63;;;;;;;0;0;;;;;;;;;;;;3;1;3;4;0;4;0;0;0;4;1;-13;1;32;T. Reimer
25-26;1;Championat de France;Exterieur;;Villeneuve d'Ascq;;Banc;M. Cisse;15;7;0,12;15,12;;;;;;;0;1;0;0;0;;;;;;;;;6;0;2;2;1;0;2;0;0;0;0;-7;7;20;M. Cisse
25-26;1;Championat de France;Exterieur;;Villeneuve d'Ascq;;Banc;E. Prugnieres;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;25;E. Prugnieres
25-26;1;Championat de France;Exterieur;;Villeneuve d'Ascq;;Banc;A. Traore;18;58;0,97;18,97;;;;;;;;;;;;;;;;;;;;13;2;1;3;0;2;1;0;0;2;3;-9;9;27;A. Traore
25-26;1;Championat de France;Exterieur;;Villeneuve d'Ascq;;Banc;F. Toure;26;11;0,18;26,18;;;;;;;0;0;;;;;;;;;;;;8;0;4;4;3;3;2;0;0;1;3;15;13;28;F. Toure
25-26;1;Championat de France;Exterieur;;Villeneuve d'Ascq;;Banc;M. De Freitas;29;22;0,37;29,37;;;;;;;;;;0;0;;;;;;;;;7;2;1;3;3;0;1;2;0;2;2;14;14;45;M. De Freitas
25-26;1;Championat de France;Exterieur;;Villeneuve d'Ascq;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;2;0;2;0;0;0;0;0;0;0;0;0;0;Team / Coach
